ID,title,currency,price,location,meters,image,links
1,"Venta Departamento Ph 3 Ambientes Parque Chacabuco, Caba",US$,87000,"Tejedor 100, Parque Chacabuco, Capital Federal",0,https://http2.mlstatic.com/D_NQ_NP_2X_613216-MLA82522973976_032025-E.webp,https://inmueble.mercadolibre.com.ar/MLA-2023329760-venta-departamento-ph-3-ambientes-parque-chacabuco-caba-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
2,Departamento En  Belgrano,US$,68000,"Blanco Encalada  Al 3400, Belgrano R, Capital Federal",0,https://http2.mlstatic.com/D_NQ_NP_2X_699204-MLA80387669944_112024-E.webp,https://departamento.mercadolibre.com.ar/MLA-1957614202-departamento-en-belgrano-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
3,Casa En  Venta Con Jardín Propio,US$,60000,"Quirno Costa  Al 600, San Fernando, Bs.As. G.B.A. Norte",0,https://http2.mlstatic.com/D_NQ_NP_2X_995775-MLA82454487990_022025-E.webp,https://casa.mercadolibre.com.ar/MLA-2021513490-casa-en-venta-con-jardin-propio-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
4,Venta Departamento Monoambiente A Estrenar Al Contrafrente Balcón Amenities Caballito,US$,92880,"Del Barco Centenera Al 700, Caballito, Capital Federal",0,https://http2.mlstatic.com/D_NQ_NP_2X_940394-MLA81290372545_122024-E.webp,https://departamento.mercadolibre.com.ar/MLA-1464659301-venta-departamento-monoambiente-a-estrenar-al-contrafrente-balcon-amenities-caballito-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
5,"Casa En Venta, 3 Ambientes, En Barrio San Sebastián, Pilar, G.b.a Norte",US$,180000,"Casa En Venta, 3 Ambientes, En Barrio San Sebastián, Pilar, G.b.a Norte, San Sebastián, Escobar, Bs.As. G.B.A. Norte",0,https://http2.mlstatic.com/D_NQ_NP_2X_687639-MLA81973417786_022025-E.webp,https://casa.mercadolibre.com.ar/MLA-2008094634-casa-en-venta-3-ambientes-en-barrio-san-sebastian-pilar-gba-norte-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
6,"Casa  En Venta En Santa Guadalupe, Pilar Del Este, Pilar",US$,155000,"Santa Guadalupe 100, Pilar Del Este, Pilar, Bs.As. G.B.A. Norte",0,https://http2.mlstatic.com/D_NQ_NP_2X_698154-MLA82747728139_022025-E.webp,https://casa.mercadolibre.com.ar/MLA-1479165213-casa-en-venta-en-santa-guadalupe-pilar-del-este-pilar-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
7,"4 Ambientes Tipo Casa Sin Expensas, Refaccionado A Nuevo!!",US$,160000,"Pedro Goyena 1437, Caballito, Capital Federal",0,https://http2.mlstatic.com/D_NQ_NP_2X_858115-MLA81687439202_012025-E.webp,https://inmueble.mercadolibre.com.ar/MLA-1471690813-4-ambientes-tipo-casa-sin-expensas-refaccionado-a-nuevo-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
8,Monoambiente -panta Baja -excelente Ubicacion!,US$,65000,"Manuel Ugarte 2300, Belgrano, Capital Federal",0,https://http2.mlstatic.com/D_NQ_NP_2X_805166-MLA79249410800_092024-E.webp,https://departamento.mercadolibre.com.ar/MLA-1916264412-monoambiente-panta-baja-excelente-ubicacion-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
9,Venta Departamento 2 Ambientes Con Patio En Boedo,US$,90000,"Av Juan De Garay Al 3200, Boedo, Capital Federal",0,https://http2.mlstatic.com/D_NQ_NP_2X_810174-MLA79200509509_092024-E.webp,https://departamento.mercadolibre.com.ar/MLA-1449727779-venta-departamento-2-ambientes-con-patio-en-boedo-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
10,"Departamento Tipo Loft 2 / 3 Amb. 50m2 Oportunidad Recoleta (av, Sta. Fe Y Callao) /particular",US$,85000,"Avenida Santa Fe 1700, Recoleta, Capital Federal",0,https://http2.mlstatic.com/D_NQ_NP_2X_852644-MLA79339061570_092024-E.webp,https://departamento.mercadolibre.com.ar/MLA-2086572952-departamento-tipo-loft-2-3-amb-50m2-oportunidad-recoleta-av-sta-fe-y-callao-particular-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
11,Depto 3 Amb San Bernardo Venta -  Gas Natural - Baulera - Tres Ambientes Cochera Vista Al Mar,US$,172000,"Av. Costanera 2944 - 4° A - ADN II, San Bernardo, Bs.As. Costa Atlántica",0,https://http2.mlstatic.com/D_NQ_NP_2X_715606-MLA80917593596_122024-E.webp,https://departamento.mercadolibre.com.ar/MLA-1971323622-depto-3-amb-san-bernardo-venta-gas-natural-baulera-tres-ambientes-cochera-vista-al-mar-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
12,Reservado Departamento En Venta 1 Ambiente Mar Del Plata,US$,41900,"Moreno Al 2200. Entre Corrientes Y Entre Rios, Centro, Mar Del Plata, Bs.As. Costa Atlántica",0,https://http2.mlstatic.com/D_NQ_NP_2X_757091-MLA80517059095_112024-E.webp,https://departamento.mercadolibre.com.ar/MLA-1459435901-reservado-departamento-en-venta-1-ambiente-mar-del-plata-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
13,Depto De 2 Amb A Estrenar Con Toilette Y Baño En Suite Entrega Inmediata,US$,168000,"Av Pedro Goyena Al 1500, Caballito, Capital Federal",0,https://http2.mlstatic.com/D_NQ_NP_2X_922829-MLA82935216597_032025-E.webp,https://departamento.mercadolibre.com.ar/MLA-2026117458-depto-de-2-amb-a-estrenar-con-toilette-y-bano-en-suite-entrega-inmediata-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=15&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
14,Departamento 2 Ambientes En Núñez 2ºd,US$,61000,"Núñez Al 2737, Núñez, Capital Federal",0,https://http2.mlstatic.com/D_NQ_NP_2X_749917-MLA82447361619_022025-E.webp,https://departamento.mercadolibre.com.ar/MLA-2013977336-departamento-2-ambientes-en-nunez-2d-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
15,"Casa En Venta 4 Amb   Escritorio,  Con Patio Y Terraza - Martinez",US$,200000,"Sargento Cabral Al 2700, Martínez, San Isidro, Bs.As. G.B.A. Norte",0,https://http2.mlstatic.com/D_NQ_NP_2X_749453-MLA81182210979_122024-E.webp,https://casa.mercadolibre.com.ar/MLA-1971254930-casa-en-venta-4-amb-escritorio-con-patio-y-terraza-martinez-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
16,"Departamento Ph  En Venta En Villa Del Parque, Capital Federal, Buenos Aires",US$,116000,"Emilio Lamarca 2200, Villa Del Parque, Capital Federal",0,https://http2.mlstatic.com/D_NQ_NP_2X_753015-MLA84321850955_052025-E.webp,https://inmueble.mercadolibre.com.ar/MLA-2071954368-departamento-ph-en-venta-en-villa-del-parque-capital-federal-buenos-aires-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
17,"Departamento En  Venta 4 Ambientes .villa Del Parque. Patio, Parrilla, Lavadero",US$,166900,"Marcos Sastre 2800, Villa Del Parque, Capital Federal",0,https://http2.mlstatic.com/D_NQ_NP_2X_797502-MLA83264056701_032025-E.webp,https://departamento.mercadolibre.com.ar/MLA-2035570562-departamento-en-venta-4-ambientes-villa-del-parque-patio-parrilla-lavadero-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
