ID,title,currency,price,location,image,links
1,Venta Barrio Cerrado Laguna Azul Ezeiza Pileta,U$S,99990,"Laguna Azul, Ezeiza, Bs.as. G.b.a....",https://http2.mlstatic.com/D_NQ_NP_779130-MLA73075735548_112023-W.jpg,https://casa.mercadolibre.com.ar/MLA-1397348699-venta-barrio-cerrado-laguna-azul-ezeiza-pileta-_JM#position=1&search_layout=grid&type=item&tracking_id=1ee29b43-ed4c-483b-913b-381109f48edb
2,Casa Con Pileta En Cumbre,U$S,126000,"Barrio Cumbre De La Rosa ., Cumbre...",https://http2.mlstatic.com/D_NQ_NP_786236-MLA73155798115_112023-W.jpg,https://casa.mercadolibre.com.ar/MLA-1397409479-casa-con-pileta-en-cumbre-_JM#position=2&search_layout=grid&type=item&tracking_id=1ee29b43-ed4c-483b-913b-381109f48edb
3,Casa 3 Ambientes En Venta Con Parque En Ciudad Jardín,U$S,160000,"Aviador Herten 2300, Ciudad Jardín...",https://http2.mlstatic.com/D_NQ_NP_896896-MLA73073169108_112023-W.jpg,https://casa.mercadolibre.com.ar/MLA-1397344495-casa-3-ambientes-en-venta-con-parque-en-ciudad-jardin-_JM#position=3&search_layout=grid&type=item&tracking_id=1ee29b43-ed4c-483b-913b-381109f48edb
4,Casa En Temperley,U$S,113900,"Pje Allemandri 752 Temperley, Temp...",https://http2.mlstatic.com/D_NQ_NP_830697-MLA73131920707_112023-W.jpg,https://casa.mercadolibre.com.ar/MLA-1397258307-casa-en-temperley-_JM#position=4&search_layout=grid&type=item&tracking_id=1ee29b43-ed4c-483b-913b-381109f48edb
5,Venta Casa 4 Amb Con Quincho. Barrio Cerrado. Altos De Podestá,U$S,190000,"Av. Marquez 2500, Pablo Podestá, T...",https://http2.mlstatic.com/D_NQ_NP_632740-MLA73179647877_112023-W.jpg,https://casa.mercadolibre.com.ar/MLA-1583730450-venta-casa-4-amb-con-quincho-barrio-cerrado-altos-de-podesta-_JM#position=5&search_layout=grid&type=item&tracking_id=1ee29b43-ed4c-483b-913b-381109f48edb
6, Venta Casa Lote Propio 7 Ambientes En Pompeya,U$S,124999,"Tabaré 1800, Nueva Pompeya, Capita...",https://http2.mlstatic.com/D_NQ_NP_638165-MLA73092850642_112023-W.jpg,https://casa.mercadolibre.com.ar/MLA-1583721370-venta-casa-lote-propio-7-ambientes-en-pompeya-_JM#position=6&search_layout=grid&type=item&tracking_id=1ee29b43-ed4c-483b-913b-381109f48edb
7,"Venta. Casa De 4 Ambientes Con Cocheras, Parque, Pileta Climatizada Y Parrilla. Hurlingham",U$S,190000,"Felix Frias 2400, Hurlingham, Bs.a...",https://http2.mlstatic.com/D_NQ_NP_671616-MLA73113857876_122023-W.jpg,https://casa.mercadolibre.com.ar/MLA-1584759288-venta-casa-de-4-ambientes-con-cocheras-parque-pileta-climatizada-y-parrilla-hurlingham-_JM#position=7&search_layout=grid&type=item&tracking_id=1ee29b43-ed4c-483b-913b-381109f48edb
8,Venta Casa Monte Grande Piscina Garaje Parque,U$S,109900,"Manuel Belgrano 300, Monte Grande,...",https://http2.mlstatic.com/D_NQ_NP_662011-MLA73154328317_112023-W.jpg,https://casa.mercadolibre.com.ar/MLA-1397392651-venta-casa-monte-grande-piscina-garaje-parque-_JM#position=8&search_layout=grid&type=item&tracking_id=1ee29b43-ed4c-483b-913b-381109f48edb
9,Casa En Venta A Estrenar Barrio Horizontes Al Sur-canning,U$S,130000,"Rp16, Guernica, Provincia De Bueno...",https://http2.mlstatic.com/D_NQ_NP_982432-MLA73096286796_112023-W.jpg,https://casa.mercadolibre.com.ar/MLA-1584018658-casa-en-venta-a-estrenar-barrio-horizontes-al-sur-canning-_JM#position=9&search_layout=grid&type=item&tracking_id=1ee29b43-ed4c-483b-913b-381109f48edb
10,Casa En Venta De ,U$S,145000,"Aráoz Al 3100, Punta Mogotes, Mar ...",https://http2.mlstatic.com/D_NQ_NP_737138-MLA73108677728_122023-W.jpg,https://casa.mercadolibre.com.ar/MLA-1584427458-casa-en-venta-de-_JM#position=10&search_layout=grid&type=item&tracking_id=1ee29b43-ed4c-483b-913b-381109f48edb
